Impact,Model,Title,Category,ArXiv Link,GitHub,Citation,Publication Date,Foundation,Property,ID
,ChatEval,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,In-Context-Learning,https://arxiv.org/abs/2308.07201,,,2023/08/14,,Memory,102
,Generative Agents,Generative Agents: Interactive Simulacra of Human Behavior,In-Context-Learning,https://arxiv.org/abs/2304.03442,,,2023/04/07,,Memory,68
,Self-supervised ICL,SINC: Self-Supervised In-Context Learning for Vision-Language Tasks,In-Context-Learning,https://arxiv.org/abs/2307.07742,,,2023/07/15,,Self-supervised,37
,BIG-Bench,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,In-Context-Learning,https://arxiv.org/abs/2206.04615,,,2022/06/09,,Benchmark,28
,ARB,ARB: Advanced Reasoning Benchmark for Large Language Models,In-Context-Learning,https://arxiv.org/abs/2307.13692,,,2023/07/25,,Benchmark,82
,PlanBench,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,In-Context-Learning,https://arxiv.org/abs/2206.10498,,,2022/06/21,,Benchmark,88
,,BitNet: Scaling 1-bit Transformers for Large Language Models,"LLM, Scaling",https://arxiv.org/abs/2310.11453,,,,,,220
,llama-gpt,"A self-hosted, offline, ChatGPT-like chatbot, powered by Llama 2. 100% private, with no data leaving your device.","LLM, Open-source",,https://github.com/getumbrel/llama-gpt,,,,,141
,LLaMA,LLaMA: Open and Efficient Foundation Language Models,"Foundation, LLM, Open-source",https://arxiv.org/abs/2302.13971,,,2023/02/27,,Open sourced LLM,92
,OpenFlamingo,OpenFlamingo: An Open-Source Framework for Training Large Autoregressive Vision-Language Models,"LLM, Open-source",https://arxiv.org/abs/2308.01390,,,2023/08/02,,Open sourced LLM,45
,InstructBLIP,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,"LLM, Open-source",https://arxiv.org/abs/2305.06500,,,2023/05/11,,Open sourced LLM,93
,ChatBridge,ChatBridge: Bridging Modalities with Large Language Model as a Language Catalyst,"LLM, Open-source",https://arxiv.org/abs/2305.16103,,,2023/05/25,,Open sourced LLM,73
,GPT3,Language Models are Few-Shot Learners,LLM,https://arxiv.org/abs/2005.14165,,,2020/05/28,,Closed sourced LLM,89
,GPT4,GPT-4 Technical Report,"GPT4, LLM",https://arxiv.org/abs/2303.08774,,,2023/03/15,,Closed sourced LLM,91
,InstructGPT,Training language models to follow instructions with human feedback,"Instruction-Turning, LLM",https://arxiv.org/abs/2203.02155,,,2022/03/04,,Instruction Turning,109
,LLaVA,Visual Instruction Tuning,"Instruction-Turning, LLM, PEFT",https://arxiv.org/abs/2304.08485,,,2023/04/17,,Instruction Turning,43
,MiniGPT-4,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models,"Instruction-Turning, LLM",https://arxiv.org/abs/2304.10592,,,2023/04/20,,Instruction Turning,21
,FLAN,Finetuned Language Models Are Zero-Shot Learners,"Instruction-Turning, LLM, Zero-shot",https://arxiv.org/abs/2109.01652,,,2021/09/03,,Instruction Turning,77
,LLaMA-adapter,LLaMA-Adapter: Efficient Fine-tuning of Language Models with Zero-init Attention,"Instruction-Turning, LLM, PEFT",https://arxiv.org/abs/2303.16199,,,2023/03/28,,Instruction Turning,108
,Self-Instruct,Self-Instruct: Aligning Language Models with Self-Generated Instructions,"Instruction-Turning, LLM",https://arxiv.org/abs/2212.10560,,,2022/12/20,,Instruction Turning,103
,Path planners,Can Large Language Models be Good Path Planners? A Benchmark and Investigation on Spatial-temporal Reasoning,"LLM, Spacial",https://arxiv.org/abs/2310.03249,,,2023/10/05,,Spatial Understanding,57
,NL2TL,NL2TL: Transforming Natural Languages to Temporal Logics using Large Language Models,"LLM, Temporal Logics",https://arxiv.org/abs/2305.07766,,,2023/05/12,,Temporal Logics,50
,GPT4Vis,GPT4Vis: What Can GPT-4 Do for Zero-shot Visual Recognition?,"LLM, Zero-shot",https://arxiv.org/abs/2311.15732,,,2023/11/27,,Quantitive Analysis,18
,Gemini vs GPT-4V,Gemini vs GPT-4V: A Preliminary Comparison and Combination of Vision-Language Models Through Qualitative Cases,LLM,https://arxiv.org/abs/2312.15011,,,2023/12/22,,Quantitive Analysis,44
,A Survey of Large Language Models,A Survey of Large Language Models,"LLM, Survey",https://arxiv.org/abs/2303.18223,,,2023/03/31,,Survey Papers,58
,MemoryBank,MemoryBank: Enhancing Large Language Models with Long-Term Memory,"LLM, Memory",https://arxiv.org/abs/2305.10250,,,2023/05/17,,Memory,101
,Reasoning in Large Language Models,Towards Reasoning in Large Language Models: A Survey,"LLM, Reasoning, Survey",https://arxiv.org/abs/2212.10403,,,2022/12/20,,Survey Paper,48
,ChemCrow,ChemCrow: Augmenting large-language models with chemistry tools,,,,,,,,166
,,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,"RAG, Temporal Logics",https://arxiv.org/abs/2310.03214,,,,,,221
,,Large Language Models for Information Retrieval: A Survey,"RAG, Survey",,,,,,,222
,,TinyLLaVA: A Framework of Small-scale Large Multimodal Models,"LLaVA, VLM",https://arxiv.org/abs/2402.14289,,,,,,223
,,Recognize Anything: A Strong Image Tagging Model,Perception,https://arxiv.org/abs/2306.03514,,,,,,224
,OmniACT,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,"Agent, Web",https://arxiv.org/abs/2402.17553,,,,,,225
,,Video as the New Language for Real-World Decision Making,"Agent, Video-for-Agent",,,,,,,226
,,LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,"Agent, LLM, Planning",,,,,,,227
,,swarms,Agent,,https://github.com/kyegomez/swarms,,,,,229
,,Gemma: Introducing new state-of-the-art open models,Open-source,https://blog.google/technology/developers/gemma-open-models/,,,,,,230
,,Awesome-Diffusion-Models,"Awesome Repo, Diffusion",,https://github.com/diff-usion/Awesome-Diffusion-Models,,,,,232
,,Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,"Robot, Zero-shot",,,,,,,233
,,Chain-of-Thought Reasoning Without Prompting,Reasoning,https://arxiv.org/abs/2402.10200,,,,,,234
,,MM-LLMs: Recent Advances in MultiModal Large Language Models,"Survey, VLM",,,,,,,235
,,,VLM,,,,,,,236
,,ReFT: Reasoning with Reinforced Fine-Tuning,"Reasoning, Reinforcement-Learning",,,,,,,237
,,Generative Expressive Robot Behaviors using Large Language Models,Robot,,,,,,,241
,,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","Hallucination, Survey",https://arxiv.org/abs/2311.05232,,,,,,242
,,Infini-gram: Scaling Unbounded n-gram Language Models to a Trillion Tokens,Context-Window,,,,,,,243
,,Advances in 3D Generation: A Survey,"Generation, Survey",,,,,,,244
,,A Survey on Evaluation of Large Language Models,"Evaluation, LLM, Survey",https://arxiv.org/abs/2307.03109,,,,,,245
,,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,"Math, Reasoning",,,,,,,246
,,Contrastive Chain-of-Thought Prompting,Reasoning,,,,,,,247
,,"Retrieval-Augmented Generation for Large Language ","RAG, Survey",,,,,,,248
,,Rephrase and Respond(RaR),Reasoning,,,,,,,249
,,Take a Step Back: Evoking Reasoning via Abstraction in Large Language Models,Reasoning,,,,,,,250
,,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,"Agent, Web",,,,,,,251
