Impact,Model,Title,Category,ArXiv Link,GitHub,Citation,Publication Date,Foundation,Property,ID,ImageURL,Connect,In a nut shell,SemanticScholar
,,Large Language Models Are Semi-Parametric Reinforcement Learning Agents,Reinforcement-Learning,,,,,,,156,,,,
,,Instruction-tuning Aligns LLMs to the Human Brain,"Brain, Instruction-Turning",,,,,,,157,,,,
,,LLM-BRAIn: AI-driven Fast Generation of Robot Behaviour Tree based on Large Language Model,Brain,,,,,,,158,,,,
70,,Divergences between Language Models and Human Brains,"AGI, Brain",,,,,,,159,,,,
,,LLM-Powered Hierarchical Language Agent for Real-time Human-AI Coordination,Agent,,,,,,,160,,,,
,CogAgent,CogAgent: A Visual Language Model for GUI Agents,"Agent, GUI",,,,,,,161,,,,
,RoCo,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,Robot,https://arxiv.org/abs/2307.04738,,25,,,,162,,,,
,XAgent,XAgent: An Autonomous Agent for Complex Task Solving,Agent,,,,,,,164,,,,
,,An Interactive Agent Foundation Model,"Agent, End2End, Game, Robot",https://arxiv.org/abs/2402.05929,,,,,,165,,,,
,,Sparks of Artificial General Intelligence: Early experiments with GPT-4,"Benchmark, GPT4",,,,,,,167,,,,
,,When Brain-inspired AI Meets AGI,"AGI, Brain",,,,,,,168,,,,
,,Predictive Minds: LLMs As Atypical Active Inference Agents,Agent,,,,,,,169,,,,
,InfiAgent,InfiAgent: A Multi-Tool Agent for AI Operating Systems,Agent,,,,,,,170,,,,
,NavGPT,NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models,"Navigation, Reasoning, Vision",,,,,,,171,,,,
,,Leveraging Pre-trained Large Language Models to Construct and Utilize World Models for Model-based Task Planning,World-model,,,,,,,172,,,,
,,STARLING: SELF-SUPERVISED TRAINING OF TEXTBASED REINFORCEMENT LEARNING AGENT WITH LARGE LANGUAGE MODELS,"Agent, Reinforcement-Learning",,,,,,,173,,,,
,,LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,"Agent, Embodied",,,,,,,174,,,,
,MindAgent,MindAgent: Emergent Gaming Interaction,Agent,,,,,,,175,,,,
,DetGPT,DetGPT: Detect What You Need via Reasoning,"Perception, Reasoning",https://arxiv.org/abs/2305.14167,,,,,,176,,,,
,,Embodied Question Answering,Enbodied,https://arxiv.org/abs/1711.11543,,,,,,177,,,,
,AppAgent,AppAgent: Multimodal Agents as Smartphone Users,"Agent, GUI, MobileApp",,,,,,,178,,,,
,,Awesome-Multimodal-Large-Language-Models,"Awesome Repo, Multimodal",,https://github.com/BradyFU/Awesome-Multimodal-Large-Language-Models,,,,,179,,,,
90,,Awesome-Embodied-Agent-with-LLMs,"Agent, Awesome Repo, LLM",,https://github.com/zchoi/Awesome-Embodied-Agent-with-LLMs,,,,,180,,,,
,,Awesome-LLM-Robotics,"Awesome Repo, Robot",,https://github.com/GT-RIPL/Awesome-LLM-Robotics,,,,,181,,,,
,,Awesome LLM Reasoning,"Awesome Repo, Reasoning",,https://github.com/atfortes/Awesome-LLM-Reasoning,,,,,182,,,,
,,LLMSurvey,"Awesome Repo, Survey",,https://github.com/RUCAIBox/LLMSurvey,,,,,183,,,,
,,Awesome-Multimodal-LLM,"Awesome Repo, Multimodal",,https://github.com/Atomic-man007/Awesome_Multimodel_LLM,,,,,184,,,,
,,War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,"Agent, Multi",https://arxiv.org/abs/2311.17227,,,,,,185,,,,
50,,Everything-LLMs-And-Robotics,"Awesome Repo, LLM, Robot",,https://github.com/jrin771/Everything-LLMs-And-Robotics,,,,,186,,,,
,,Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,"Grounding, Reinforcement-Learning",,,,,,,187,,,,
,,Awesome-Reasoning-Foundation-Models,"Awesome Repo, Reasoning",,https://github.com/reasoning-survey/Awesome-Reasoning-Foundation-Models,,,,,188,,,,
,,Awesome-LLM,"Awesome Repo, LLM",,https://github.com/Hannibal046/Awesome-LLM,,,,,189,,,,
,,OK-Robot: What Really Matters in Integrating Open-Knowledge Models for Robotics,Robot,,,,,,,190,,,,
,Mobile-Agent,Mobile-Agent: Autonomous Multi-Modal Mobile Device Agent with Visual Perception,"Agent, GUI, MobileApp",,,,,,,191,,,,
,,WebVoyager: Building an End-to-End Web Agent with Large Multimodal Models,"Agent, Web",,,,,,,192,,,,
,,A Systematic Survey of Prompt Engineering in Large Language Models: Techniques and Applications,"Prompting, Survey",,,,,,,193,,,,
,,Chain-of-Thought Reasoning Without Prompting,"Chain-of-Thought, Prompting",,,,,,,194,,,,
,,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,"Agent, Web",,,,,,,195,,,,
,,Self-Discover: Large Language Models Self-Compose Reasoning Structures,Reasoning,,,,,,,196,,,,
,LARP,LARP: Language-Agent Role Play for Open-World Games,"Agent, Minecraft",,,,,,,197,,,,
,,Contrastive Chain-of-Thought Prompting,Prompting,,,,,,,198,,,,
,,Levels of AGI: Operationalizing Progress on the Path to AGI,"AGI, Survey",,,,,,,199,,,,
,,A Survey on LLM-based Autonomous Agents,"Agent, Survey",,https://github.com/Paitesanshi/LLM-Agent-Survey,,,,,200,,,,
,,SAM-CLIP: Merging Vision Foundation Models towards Semantic and Spatial Understanding,"Anything, CLIP, Perception",,,,,,,201,,,,
,,Agents: An Open-source Framework for Autonomous Language Agents,Agent,,,,,,,202,,,,
,,"GPT-4V(ision) is a Generalist Web Agent, if Grounded","Agent, GPT4, Web",,,,,,,203,,,,
,,Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection,"Open-source, Perception",,,,,,,204,,,,
,,DINO: DETR with Improved DeNoising Anchor Boxes for End-to-End Object Detection,Perception,,,,,,,205,,,,
,,World Model on Million-Length Video And Language With RingAttention,"Text-to-Image, World-model",,,,,,,206,,,,
,,日本語LLMまとめ,"Awesome Repo, Japanese, LLM",,https://github.com/llm-jp/awesome-japanese-llm,,,,,207,,,,
,,LLM-Leaderboard,"Awesome Repo, LLM, Leaderboard",,https://github.com/LudwigStumpp/llm-leaderboard,,,,,208,,,,
,,Chain-of-ThoughtsPapers,"Awesome Repo, Chain-of-Thought",,https://github.com/Timothyxxx/Chain-of-ThoughtsPapers,,,,,209,,,,
,,Awesome RLHF (RL with Human Feedback),"Awesome Repo, RLHF, Reinforcement-Learning",,https://github.com/opendilab/awesome-RLHF,,,,,210,,,,
,,LLM-in-Vision,"Awesome Repo, LLM, Vision",,https://github.com/DirtyHarryLYL/LLM-in-Vision,,,,,211,,,,
,,CoALA: Awesome Language Agents,"Agent, Awesome Repo, LLM",,https://github.com/ysymyth/awesome-language-agents,,,,,212,,,,
,,Awesome AI Agents,"Agent, Awesome Repo",,https://github.com/e2b-dev/awesome-ai-agents,,,,,213,,,,
,BC-Z,BC-Z: Zero-Shot Task Generalization with Robotic Imitation Learning,"Robot, Zero-shot",https://arxiv.org/abs/2202.02005,,,,,,214,,,,
,,Reasoning Grasping via Multimodal Large Language Model,"Perception, Reasoning, Robot",https://arxiv.org/abs/2402.06798,,,,,,215,,,,
,,Segment Anything,"Anything, Perception, Segmentation",https://arxiv.org/abs/2304.02643,,,,,,216,,,,
,NLaP,Natural Language as Polices: Reasoning for Coordinate-Level Embodied Control with LLMs,"Embodied, Reasoning, Robot",https://arxiv.org/abs/2403.13801,https://github.com/shure-dev/NLaP,,2024/03/20,,,217,,,,
,,Awesome-LLM-Papers-Toward-AGI,"AGI, Awesome Repo, Survey",,https://github.com/shure-dev/Awesome-LLM-Papers-Toward-AGI,,,,,218,,,,
70,,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"LLM, Quantization",https://arxiv.org/abs/2402.17764,,,,,,219,,,,
,,BitNet: Scaling 1-bit Transformers for Large Language Models,"LLM, Scaling",https://arxiv.org/abs/2310.11453,,,,,,220,,,,
,,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,"RAG, Temporal Logics",https://arxiv.org/abs/2310.03214,,,,,,221,,,,
,,Large Language Models for Information Retrieval: A Survey,"RAG, Survey",,,,,,,222,,,,
,,TinyLLaVA: A Framework of Small-scale Large Multimodal Models,"LLaVA, VLM",https://arxiv.org/abs/2402.14289,,,,,,223,,,,
,,Recognize Anything: A Strong Image Tagging Model,Perception,https://arxiv.org/abs/2306.03514,,,,,,224,,,,
,OmniACT,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,"Agent, Web",https://arxiv.org/abs/2402.17553,,,,,,225,,,,
,,Video as the New Language for Real-World Decision Making,"Agent, Video-for-Agent",,,,,,,226,,,,
,,LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,"Agent, LLM, Planning",,,,,,,227,,,,
50,,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,"Context-Window, LLM, RoPE, Scaling",https://arxiv.org/abs/2402.13753,,,,,,228,,,,
,,swarms,Agent,,https://github.com/kyegomez/swarms,,,,,229,,,,
,,Gemma: Introducing new state-of-the-art open models,Open-source,https://blog.google/technology/developers/gemma-open-models/,,,,,,230,,,,
,,Learning to Learn Faster from Human Feedback with Language Model Predictive Control,"Feedback, Robot",,,,,,,231,,,,
,,Awesome-Diffusion-Models,"Awesome Repo, Diffusion",,https://github.com/diff-usion/Awesome-Diffusion-Models,,,,,232,,,,
,,Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,"Robot, Zero-shot",,,,,,,233,,,,
,,Chain-of-Thought Reasoning Without Prompting,Reasoning,https://arxiv.org/abs/2402.10200,,,,,,234,,,,
,,MM-LLMs: Recent Advances in MultiModal Large Language Models,"Survey, VLM",,,,,,,235,,,,
,,ReFT: Reasoning with Reinforced Fine-Tuning,"Reasoning, Reinforcement-Learning",,,,,,,237,,,,
,,Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data,"Anything, Depth",,,,,,,238,,,,
,,"Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs","Diffusion, Text-to-Image",,,,,,,239,,,,
,,SliceGPT: Compress Large Language Models by Deleting Rows and Columns,"Quantization, Scaling",,,,,,,240,,,,
,,Generative Expressive Robot Behaviors using Large Language Models,Robot,,,,,,,241,,,,
,,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","Awesome Repo, Hallucination, Survey",https://arxiv.org/abs/2311.05232,https://github.com/LuckyyySTA/Awesome-LLM-hallucination,,,,,242,,,,
,,Infini-gram: Scaling Unbounded n-gram Language Models to a Trillion Tokens,"Context-Window, Scaling",,,,,,,243,,,,
,,Advances in 3D Generation: A Survey,"Generation, Survey",,,,,,,244,,,,
,,A Survey on Evaluation of Large Language Models,"Evaluation, LLM, Survey",https://arxiv.org/abs/2307.03109,,,,,,245,,,,
,,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,"Math, Reasoning",,,,,,,246,,,,
,,Contrastive Chain-of-Thought Prompting,Reasoning,,,,,,,247,,,,
,,"Retrieval-Augmented Generation for Large Language ","RAG, Survey",,,,,,,248,,,,
,,Rephrase and Respond(RaR),Reasoning,,,,,,,249,,,,
,,Take a Step Back: Evoking Reasoning via Abstraction in Large Language Models,Reasoning,,,,,,,250,,,,
,,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,"Agent, Web",https://arxiv.org/abs/2402.07456,,,,,,251,,,,
,,Zero-Shot Robotic Manipulation with Pretrained Image-Editing Diffusion Models,"Generation, Robot, Zero-shot",https://arxiv.org/abs/2310.10639,,,,,,252,,,,
,,Towards Generalizable Zero-Shot Manipulationvia Translating Human Interaction Plans,"Generation, Robot, Zero-shot",,,,,,,253,,,,
80,,Language Models as Zero-Shot Trajectory Generators,"LLM, PersonalCitation, Robot, Zero-shot",https://arxiv.org/abs/2310.11604,,,,,,254,,,,
,,Mirage: Cross-Embodiment Zero-Shot Policy Transfer with Cross-Painting,"Robot, Zero-shot",,,,,,,255,,,,
,,Zero-Shot Task Generalization with Multi-Task Deep Reinforcement Learning,"Robot, Zero-shot",,,,,,,256,,,,
,,Large Language Models are Zero-Shot Reasoners,"Reasoning, Zero-shot",,,,,,,257,,,,
,,Can Foundation Models Perform Zero-Shot Task Specification For Robot Manipulation?,Zero-shot,,,,,,,258,,,,
,,"Sora: A Review on Background, Technology, Limitations, and Opportunities of Large Vision Models","Sora, Text-to-Video",,,,,,,261,,,,
,,MobiLlama: Towards Accurate and Lightweight Fully Transparent GPT,"LLaMA, Lightweight, Open-source",,,,,,,262,,,,
,,Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes01,Distilling,,,,,,,263,,,,
,,LIDA: A Tool for Automatic Generation of Grammar-Agnostic Visualizations and Infographics using Large Language Models01,"Benchmark, Sora, Text-to-Video",,,,,,,265,,,,
,,EgoCOT: Embodied Chain-of-Thought Dataset for Vision Language Pre-training,"Chain-of-Thought, Embodied, Robot",,,,,,,266,,,,
,,Language Segment-Anything,"Perception, Robot",,,,,,,267,,,,
,,Large World Model,"VLM, World-model",https://arxiv.org/abs/2402.08268,,,,,,268,,,,
,,Learning and Leveraging World Models in Visual Representation Learning,World-model,,,,,,,269,,,,
,,Resonance RoPE: Improving Context Length Generalization of Large Language Models,"Context-Window, Reasoning, RoPE, Scaling",,,,,,,270,,,,
,,RoboCat: A Self-Improving Generalist Agent for Robotic Manipulation,Robot,,,,,,,271,,,,
,,RoFormer: Enhanced Transformer with Rotary Position Embedding,RoPE,https://arxiv.org/abs/2104.09864,,,,,,272,,,,
,,Language Models Meet World Models: Embodied Experiences Enhance Language Models,"Embodied, World-model",,,,,,,273,,,,
,,[Resource] Paperswithcode,Resource,https://paperswithcode.com/,,,,,,274,,,,
,,[Resource] huggingface,Resource,https://huggingface.co/papers,,,,,,275,,,,
,,Gorilla: Large Language Model Connected with Massive APIs,"Agent, Tool",,,,,,,276,,,,
,,AlphaBlock: Embodied Finetuning for Vision-Language Reasoning in Robot Manipulation,"Reasoning, Robot",,,,,,,277,,,,
,,Introspective Tips: Large Language Model for In-Context Decision Making,Robot,https://www.semanticscholar.org/paper/Introspective-Tips%3A-Large-Language-Model-for-Making-Chen-Wang/047e3812854a86b2a2e113219fa956eda860ce24,,,,,,278,,,,
90,,Multimodal & Large Language Models,"Awesome Repo, LLM, VLM",,https://github.com/Yangyi-Chen/Multimodal-AND-Large-Language-Models,,,,,279,,,,
,,A Survey of Reinforcement Learning from Human Feedback,"RLHF, Reinforcement-Learning, Survey",,,,,,,280,,,,
,,Instruction Tuning for Large Language Models: A Survey,"Instruction-Turning, LLM, Survey",,,,,,,281,,,,
,,Agent AI: Surveying the Horizons of Multimodal Interaction,"Agent, Survey",,,,,,,282,,,,
,,Large Multimodal Agents: A Survey,"Agent, Survey",,,,,,,283,,,,
,,Symbol-LLM: Leverage Language Models for Symbolic System in Visual Human Activity Reasoning,"Reasoning, Symbolic",,,,,,,284,,,,
,,[Resource] dailyarxiv,Resource,https://dailyarxiv.com/,,,,,,285,,,,
,,You Only Look at Screens: Multimodal Chain-of-Action Agents,"Agent, MobileApp",,https://github.com/cooelf/Auto-UI,,,,,287,,,,
,,Pangu-Agent: A Fine-Tunable Generalist Agent with Structured Reasoning,"Agent, Reasoning",,,,,,,288,,,,
,,Large Language Models for Robotics: A Survey,"LLM, Robot, Survey",,,,,,,289,,,,
,,Embodied Multi-Modal Agent trained by an LLM from a Parallel TextWorld,"Agent, Embodied",https://arxiv.org/abs/2311.16714,,,,,,291,,,,
,,Octopus: Embodied Vision-Language Programmer from Environmental Feedback,"Agent, Embodied",,,,,,,292,,,,
,,Is Prompt All You Need? No. A Comprehensive and Broader View of Instruction Learning,"Instruction-Turning, Survey",,,,,,,295,,,,
,,Vision-Language Instruction Tuning: A Review and Analysis,"Instruction-Turning, Survey",,,,,,,296,,,,
,,A Closer Look at the Limitations of Instruction Tuning,Instruction-Turning,,,,,,,297,,,,
,,REVO-LION: EVALUATING AND REFINING VISION LANGUAGE INSTRUCTION TUNING DATASETS,"Datatset, Instruction-Turning",,,,,,,298,,,,
,,INSTRUCTION TUNING WITH GPT-4,"GPT4, Instruction-Turning",https://arxiv.org/abs/2304.03277,,,,,,299,,,,
,,Exploring Format Consistency for Instruction Tuning,Instruction-Turning,,,,,,,300,,,,
,,Synthetic Data (Almost) from Scratch: Generalized Instruction Tuning for Language Models,"Datatset, Instruction-Turning",,,,,,,301,,,,
,,[Resource] Connectedpapers,Resource,https://www.connectedpapers.com/,,,,,,302,,,,
,,RAP: Retrieval-Augmented Planning with Contextual Memory for Multimodal LLM Agents,"Agent, Memory, RAG",https://arxiv.org/abs/2402.03610,,,2024/02/06,,,303,,,,
,,Training Language Models with Memory Augmentation,RAG,,,,,,,304,,,,
,,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,MoE,https://arxiv.org/abs/2101.03961,,,,,,305,,,,
,,Language Models Meet World Models,World-model,https://arxiv.org/abs/2305.10626,,,,,,306,,,,
,,Learning to Model the World with Language,World-model,https://arxiv.org/abs/2308.01399,,,,,,307,,,,
,,Diffusion World Model,World-model,https://arxiv.org/abs/2402.03570,,,,,,308,,,,
,,PIVOT: Iterative Visual Prompting Elicits Actionable Knowledge for VLMs,Robot,https://arxiv.org/abs/2402.07872,,,,,,309,,,,
,,RT-H: Action Hierarchies Using Language,"Natural-Language-as-Polices, Robot",https://arxiv.org/abs/2403.01823,,,,,,311,,,,
,,Application of Pretrained Large Language Models in Embodied Artificial Intelligence,"Agent, Embodied, Survey",https://www.semanticscholar.org/paper/Application-of-Pretrained-Large-Language-Models-in-Kovalev-Panov/04f87baf7d1b3eb303a52a8a66c8189f396dd114,,,,,,312,,,,
,,Simple Open-Vocabulary Object Detection with Vision Transformers,Perception,https://arxiv.org/abs/2205.06230,,,,,,313,,,,
,,Design2Code: How Far Are We From Automating Front-End Engineering?,"Code-LLM, Front-End",,,,,,,314,,,,
,,ScreenAgent: A Vision Language Model-driven Computer Control Agent,Agent,,,,,,,315,,,,
70,,XLang Paper Reading,"Agent, Awesome Repo, Embodied, Grounding",,https://github.com/xlang-ai/xlang-paper-reading,,,,,316,,,,
,,Learning to Model the World with Language,World-model,https://arxiv.org/abs/2308.01399,,,,,,319,,,,
,,NaturalSpeech 3: Zero-Shot Speech Synthesis with Factorized Codec and Diffusion Models,"Diffusion, Speech",,,,,,,320,,,,
,,VisionLLaMA: A Unified LLaMA Interface for Vision Tasks,"Foundation, LLaMA, Vision",,,,,,,321,,,,
,,EMO: Emote Portrait Alive - Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions,"Audio2Video, Diffusion, Generation, Video",,,,,,,322,,,,
,,Secrets of RLHF in Large Language Models Part I: PPO,"PPO, RLHF, Reinforcement-Learning",https://arxiv.org/abs/2402.01030,,,2024/02/01,,,323,,,,
,,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,"Context-Window, Foundation, Gemini, LLM, Scaling",,,,,,,324,,,,
,,"LONGNET: Scaling Transformers to 1,000,000,000 Tokens",Scaling,https://arxiv.org/abs/2307.02486,,,2023/07/01,,,325,,,,
,,STaR: Bootstrapping Reasoning With Reasoning,Reasoning,https://arxiv.org/abs/2203.14465,,,2022/05/28,,,327,,,,
,,The Impact of Reasoning Step Length on Large Language Models,Reasoning,,,,,,,328,,,,
,,A Closer Look at the Limitations of Instruction Tuning,"Instruction-Turning, Survey",https://arxiv.org/abs/2402.05119,,,,,,329,,,,
,,OpenAGI: When LLM Meets Domain Experts,"AGI, Agent",,,54,,,,330,,,,
,,"AssistGPT: A General Multi-modal Assistant that can Plan, Execute, Inspect, and Learn",Agent,,,,,,,331,,,,
,,Exploring the Benefits of Training Expert Language Models over Instruction Tuning,Instruction-Turning,https://arxiv.org/abs/2302.03202,,27,2023/02/06,,,332,,,,
,,In-Context Instruction Learning,"In-Context-Learning, Instruction-Turning",,,,,,,333,,,,
,,Tuna: Instruction Tuning using Feedback from Large Language Models,Instruction-Turning,https://arxiv.org/abs/2310.13385,,,2023/03/06,,,334,,,,
,,"Structured Prompting: Scaling In-Context Learning to 1,000 Examples","In-Context-Learning, Scaling",,,20,2020/03/06,,,335,,,,
,,Rethinking the Role of Scale for In-Context Learning: An Interpretability-based Case Study at 66 Billion Scale,"In-Context-Learning, Scaling",,,18,2022/03/06,,,336,,,,
,,Secrets of RLHF in Large Language Models Part II: Reward Modeling,RLHF,,,,,,,337,,,,
,,CLIP4Clip: An Empirical Study of CLIP for End to End Video Clip Retrieval,"Perception, Video, Vision",https://arxiv.org/abs/2104.08860,,,,,,338,,,,
,,LLaMA-VID: An Image is Worth 2 Tokens in Large Language Models,"Image, LLaMA, Perception",,,,,,,339,,,,
,,SAM-CLIP: Merging Vision Foundation Models towards Semantic and Spatial Understanding,Perception,,,,,,,340,,,,
,,Visual In-Context Prompting,"In-Context-Learning, Perception, Vision",,,,,,,341,,,,
,,What does CLIP know about a red circle? Visual prompt engineering for VLMs,In-Context-Learning,,,,,,,342,,,,
,,What Makes Good Examples for Visual In-Context Learning?,"In-Context-Learning, Vision",,,,,,,343,,,,
,,Visual Prompting via Image Inpainting,"In-Context-Learning, Vision",,,,,,,344,,,,
,,Prompting Visual-Language Models for Efficient Video Understanding,"In-Context-Learning, Video",,,,,,,345,,,,
,,Visual Prompt Tuning,"In-Context-Learning, Prompt-Tuning",,,,,,,346,,,,
,,Visually Grounded Reasoning across Languages and Cultures,"Grounding, Reasoning",,,,,,,347,,,,
,,V-IRL: Grounding Virtual Intelligence in Real Life,Grounding,,,,,,,348,,,,
,,GLaMM: Pixel Grounding Large Multimodal Model,Grounding,,,,,,,349,,,,
,,Awesome Embodied Vision,"Awesome Repo, Embodied",,https://github.com/ChanganVR/awesome-embodied-vision,,,,,351,,,,
,,PromptAgent: Strategic Planning with Language Models Enables Expert-level Prompt Optimization,Agent,,,,,,,352,,,,
,,Autonomous Agents,"Agent, Awesome Repo",,https://github.com/tmgthb/Autonomous-Agents,,,,,353,,,,
,,3D Diffusion Policy,"Diffusion, Robot",https://arxiv.org/abs/2403.03954,,,,,,354,,,,
,,Segment and Caption Anything,"Anything, Caption, Perception, Segmentation",https://arxiv.org/abs/2312.00869,,,,,,355,,,,
,,Correcting Robot Plans with Natural Language Feedback,"Feedback, Robot",https://arxiv.org/abs/2204.05186,,,,,,356,,,,
,,Real-World Robot Applications of Foundation Models: A Review,"Robot, Survey",,,,,,,357,,,,
,,"Tencent AI Lab - AppAgent, WebVoyager",Lab,,,,,,,362,,,,
,,DeepWisdom - MetaGPT,Lab,,,,,,,363,,,,
,,Reworkd AI - AgentGPT,Lab,,,,,,,364,,,,
,,"OpenBMB - ChatDev, XAgent, AgentVerse",Lab,,,,,,,365,,,,
,,XLANG NLP Lab - OpenAgents,Lab,,,,,,,366,,,,
,,Skeleton-of-Thought: Prompting LLMs for Efficient Parallel Generation,"Chain-of-Thought, Reasoning",,,,,,,367,,,,
,,"Rutgers University, AGI Research - OpenAGI",Lab,,,,,,,368,,,,
,,Knowledge Engineering Group (KEG) & Data Mining at Tsinghua University -  CogVLM,Lab,,,,,,,369,,,,
,,Steve-Eye: Equipping LLM-based Embodied Agents with Visual Perception in Open Worlds,"Agent, Minecraft",,,,,,,370,,,,
,,You Only Look at Screens: Multimodal Chain-of-Action Agents,"Agent, GUI, MobileApp",,,,,,,371,,,,
,,"LEARNING EMBODIED VISION-LANGUAGE PRO- GRAMMING FROM INSTRUCTION, EXPLORATION, AND ENVIRONMENTAL FEEDBACK","Agent, Game",,,,,,,372,,,,
,,Embodied Task Planning with Large Language Models,"Agent, Embodied",,,,,,,374,,,,
,,Can Language Agents Approach the Performance of RL? An Empirical Study On OpenAI Gym,"Gym, PPO, Reinforcement-Learning, Survey",,,,,,,375,,,,
,,AGENT INSTRUCTS LARGE LANGUAGE MODELS TO BE GENERAL ZERO-SHOT REASONERS,"Agent, Reasoning",,,,,,,376,,,,
,,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,"Agent, Tool",,,,,,,377,,,,
,,LLM Powered Autonomous Agents,"Agent, Blog",https://lilianweng.github.io/posts/2023-06-23-agent/,,,,,,378,,,,
,,ScreenAgent: A Computer Control Agent Driven by Visual Language Large Model,"Agent, GUI",,https://github.com/niuzaisheng/ScreenAgent,,,,,379,,,,
,,SeeClick: Harnessing GUI Grounding for Advanced Visual GUI Agents,"Agent, GUI",,,,,,,380,,,,
,,"""What’s important here?"": Opportunities and Challenges of Using LLMs in Retrieving Informatio from Web Interfaces","Agent, GUI, Web",,,,,,,381,,,,
,,Self-Instruct: Aligning Language Models with Self-Generated Instructions,"Instruction-Turning, Self",,,817,,,,382,,,,https://www.semanticscholar.org/paper/Self-Instruct%3A-Aligning-Language-Models-with-Wang-Kordi/e65b346d442e9962a4276dc1c1af2956d9d5f1eb
,,[Resource] Semanticscholar,Resource,https://www.semanticscholar.org,,,,,,383,,,,
,,A Survey on In-context Learning,"In-Context-Learning, Survey",https://arxiv.org/abs/2301.00234,,,,,,384,,,,
,,Combating Misinformation in the Age of LLMs: Opportunities and Challenges,"Hallucination, Survey",https://arxiv.org/abs/2311.05656,,,,,,385,,,,
,,Awesome-Papers-Autonomous-Agent,"Agent, Awesome Repo",,https://gh.mlsub.net/lafmdp/Awesome-Papers-Autonomous-Agent,,,,,386,,,,
,,Understanding LLMs: A Comprehensive Overview from Training to Inference,"Survey, Training",,,3,,,,387,,,,
,,A Survey on Data Selection for LLM Instruction Tuning,"Instruction-Turning, Survey",,,,,,,388,,,,
,,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents","Agent, Code-LLM, Code-as-Policies, Survey",https://arxiv.org/abs/2401.00812,,5,,,,389,,,,
,,A Survey on Knowledge Distillation of Large Language Models,"Distilling, Survey",,,,,,,390,,,,
,,A Survey on Data Selection for Language Models,"Datatset, LLM, Survey",,,,,,,391,,,,
100,,Awesome-LLM-Survey,"Awesome Repo, LLM, Survey",,https://github.com/HqWu-HITCS/Awesome-LLM-Survey,,,,,392,,,,
70,,Awesome Large Multimodal Agents,"Agent, Awesome Repo",,https://github.com/jun0wanan/awesome-large-multimodal-agents,,,,,393,,,,
,,Awesome Vision-Language Navigation,"Awesome Repo, Perception, VLM",,https://github.com/daqingliu/awesome-vln,,,,,394,,,,
,,Large Models for Time Series and Spatio-Temporal Data: A Survey and Outlook,"Survey, TimeSeries",,,,,,,395,,,,
,,OpenGVLab,Lab,,https://github.com/OpenGVLab,,,,,396,,,,
,,Imperial College London - Zeroshot trajectory,Lab,,,,,,,397,,,,
,,[Resource] AlphaSignal,Resource,https://alphasignal.ai/,,,,,,399,,,,
,,[Resource] arxiv-sanity,Resource,https://arxiv-sanity-lite.com/,,,,,,400,,,,
,,InCoRo: In-Context Learning for Robotics Control with Feedback Loops,"Feedback, In-Context-Learning, Robot",,,,,,,403,,,,
,,S-Agents: Self-organizing Agents in Open-ended Environment,"Agent, Minecraft",,,,,,,404,,,,
,,OCI-Robotics: Object-Centric Instruction Augmentation for Robotic Manipulation,Robot,https://arxiv.org/abs/2401.02814,,,,,,406,,,,
,,Lenna: Language Enhanced Reasoning Detection Assistant,"Perception, Reasoning",https://arxiv.org/abs/2312.02433,,,,,,407,,,,
,,Could a Large Language Model be Conscious?,"Brain, Conscious",,,,,,,408,,,,
,,Could a Large Language Model be Conscious?,"Brain, Conscious",,,,,,,409,,,,
,,A Neuro-Mimetic Realization of the Common Model of Cognition via Hebbian Learning and Free Energy Minimization,Brain,,,,,,,410,,,,
,,(Long)LLMLingua: Enhancing Large Language Model Inference via Prompt Compression,"Compress, Scaling",https://arxiv.org/abs/2310.05736,,,,,,411,,,,
