Impact,Model,Title,Category,ArXiv Link,GitHub,Citation,Publication Date,Property
,MemoryBank,MemoryBank: Enhancing Large Language Models with Long-Term Memory,"LLM, Memory",https://arxiv.org/abs/2305.10250,,,2023/05/17,Memory
,Reasoning in Large Language Models,Towards Reasoning in Large Language Models: A Survey,"LLM, Reasoning, Survey",https://arxiv.org/abs/2212.10403,,,2022/12/20,Survey Paper
,,AMAGO: Scalable In-Context Reinforcement Learning for Adaptive Agents,"In-Context-Learning, Reinforcement-Learning",,,,,
,,Chain-of-Table: Evolving Tables in the Reasoning Chain for Table Understanding,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2401.04398,,,,
,ReAct,ReAct: Synergizing Reasoning and Acting in Language Models,In-Context-Learning,https://arxiv.org/abs/2303.11366,,,2023/03/20,Reasoning
,Self-Refine,Self-Refine: Iterative Refinement with Self-Feedback,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2303.17651,,,2023/03/30,Reasoning
,Plan-and-Solve,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2305.04091,,,2023/05/06,Reasoning
,PAL,PAL: Program-aided Language Models,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2211.10435,,,2022/11/18,Reasoning
,Reasoning via Planning,Reasoning with Language Model is Planning with World Model,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2305.14992,,,2023/05/24,Reasoning
,Self-Ask,Measuring and Narrowing the Compositionality Gap in Language Models,"Chain-of-Thought, In-Context-Learning, Self",https://arxiv.org/abs/2210.03350,,,2022/10/07,Reasoning
,Least-to-Most Prompting,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2205.10625,,,2022/05/21,Reasoning
,Self-Polish,Self-Polish: Enhance Reasoning in Large Language Models via Problem Refinement,"Chain-of-Thought, In-Context-Learning, Self",https://arxiv.org/abs/2305.14497,,,2023/05/23,Reasoning
,COMPLEXITY-CoT,Complexity-Based Prompting for Multi-Step Reasoning,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2210.00720,,,2022/10/03,Reasoning
,Maieutic Prompting,Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2205.11822,,,2022/05/24,Reasoning
,Algorithm of Thoughts,Algorithm of Thoughts: Enhancing Exploration of Ideas in Large Language Models,"Chain-of-Thought, In-Context-Learning",https://arxiv.org/abs/2308.10379,,,2023/08/20,Reasoning
,SuperICL,Small Models are Valuable Plug-ins for Large Language Models,In-Context-Learning,https://arxiv.org/abs/2305.08848,,,2023/05/15,Reasoning
,VisualCOMET,VisualCOMET: Reasoning about the Dynamic Context of a Still Image,"In-Context-Learning, VQA",https://arxiv.org/abs/2004.10796,,,2020/04/22,Reasoning
,ChatEval,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,In-Context-Learning,https://arxiv.org/abs/2308.07201,,,2023/08/14,Memory
,Generative Agents,Generative Agents: Interactive Simulacra of Human Behavior,In-Context-Learning,https://arxiv.org/abs/2304.03442,,,2023/04/07,Memory
,Self-supervised ICL,SINC: Self-Supervised In-Context Learning for Vision-Language Tasks,"In-Context-Learning, VQA",https://arxiv.org/abs/2307.07742,,,2023/07/15,Self-supervised
,BIG-Bench,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,In-Context-Learning,https://arxiv.org/abs/2206.04615,,,2022/06/09,Benchmark
,ARB,ARB: Advanced Reasoning Benchmark for Large Language Models,"Benchmark, In-Context-Learning",https://arxiv.org/abs/2307.13692,,,2023/07/25,Benchmark
,PlanBench,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,"Benchmark, In-Context-Learning",https://arxiv.org/abs/2206.10498,,,2022/06/21,Benchmark
,,War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,"Agent, Multi",https://arxiv.org/abs/2311.17227,,,,
,AppAgent,AppAgent: Multimodal Agents as Smartphone Users,"Agent, GUI, MobileApp",,,,,
,MindAgent,MindAgent: Emergent Gaming Interaction,Agent,,,,,
,,LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,"Agent, Embodied",,,,,
,,STARLING: SELF-SUPERVISED TRAINING OF TEXTBASED REINFORCEMENT LEARNING AGENT WITH LARGE LANGUAGE MODELS,"Agent, Reinforcement-Learning",,,,,
,InfiAgent,InfiAgent: A Multi-Tool Agent for AI Operating Systems,Agent,,,,,
,,Predictive Minds: LLMs As Atypical Active Inference Agents,Agent,,,,,
,,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,"RAG, Temporal Logics",https://arxiv.org/abs/2310.03214,,,,
,,LoRA: Low-Rank Adaptation of Large Language Models,"LoRA, Scaling",,,,,
,,Large Language Models for Information Retrieval: A Survey,"RAG, Survey",,,,,
,,TinyLLaVA: A Framework of Small-scale Large Multimodal Models,"LLaVA, VLM",https://arxiv.org/abs/2402.14289,,,,
,,Recognize Anything: A Strong Image Tagging Model,Perception,https://arxiv.org/abs/2306.03514,,,,
,OmniACT,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,"Agent, Web",https://arxiv.org/abs/2402.17553,,,,
,,Video as the New Language for Real-World Decision Making,"Agent, Video-for-Agent",,,,,
,,LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,"Agent, LLM, Planning",,,,,
,,swarms,Agent,,https://github.com/kyegomez/swarms,,,
,,Gemma: Introducing new state-of-the-art open models,Open-source,https://blog.google/technology/developers/gemma-open-models/,,,,
,,Awesome-Diffusion-Models,"Awesome Repo, Diffusion",,https://github.com/diff-usion/Awesome-Diffusion-Models,,,
,,Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,"Robot, Zero-shot",,,,,
,,Chain-of-Thought Reasoning Without Prompting,Reasoning,https://arxiv.org/abs/2402.10200,,,,
,,MM-LLMs: Recent Advances in MultiModal Large Language Models,"Survey, VLM",,,,,
,,ReFT: Reasoning with Reinforced Fine-Tuning,"Reasoning, Reinforcement-Learning",,,,,
,,Generative Expressive Robot Behaviors using Large Language Models,Robot,,,,,
,,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","Awesome Repo, Hallucination, Survey",https://arxiv.org/abs/2311.05232,https://github.com/LuckyyySTA/Awesome-LLM-hallucination,,,
,,Infini-gram: Scaling Unbounded n-gram Language Models to a Trillion Tokens,"Context-Window, Scaling",,,,,
,,Advances in 3D Generation: A Survey,"Generation, Survey",,,,,
,,A Survey on Evaluation of Large Language Models,"Evaluation, LLM, Survey",https://arxiv.org/abs/2307.03109,,,,
,,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,"Math, Reasoning",,,,,
,,Contrastive Chain-of-Thought Prompting,Reasoning,,,,,
,,"Retrieval-Augmented Generation for Large Language ","RAG, Survey",,,,,
,,Rephrase and Respond(RaR),Reasoning,,,,,
,,Take a Step Back: Evoking Reasoning via Abstraction in Large Language Models,Reasoning,,,,,
,,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,"Agent, Web",https://arxiv.org/abs/2402.07456,,,,
,,Zero-Shot Robotic Manipulation with Pretrained Image-Editing Diffusion Models,"Generation, Robot, Zero-shot",https://arxiv.org/abs/2310.10639,,,,
,,Towards Generalizable Zero-Shot Manipulationvia Translating Human Interaction Plans,"Generation, Robot, Zero-shot",,,,,
80,,Language Models as Zero-Shot Trajectory Generators,"LLM, PersonalCitation, Robot, Zero-shot",https://arxiv.org/abs/2310.11604,,,,
,,Mirage: Cross-Embodiment Zero-Shot Policy Transfer with Cross-Painting,"Robot, Zero-shot",,,,,
,,Zero-Shot Task Generalization with Multi-Task Deep Reinforcement Learning,"Robot, Zero-shot",,,,,
,,Large Language Models are Zero-Shot Reasoners,"Reasoning, Zero-shot",,,,,
,,Can Foundation Models Perform Zero-Shot Task Specification For Robot Manipulation?,Zero-shot,,,,,
,,Code as Reward: Empowering Reinforcement Learning with VLMs,"Code-as-Policies, Reinforcement-Learning, Reward",https://arxiv.org/abs/2402.04764,,,,
,,"Sora: A Review on Background, Technology, Limitations, and Opportunities of Large Vision Models","Sora, Text-to-Video",,,,,
,,MobiLlama: Towards Accurate and Lightweight Fully Transparent GPT,"LLaMA, Lightweight, Open-source",,,,,
,,TaskWeaver: A Code-First Agent Framework,"Agent, Code-LLM",,,,,
,,LIDA: A Tool for Automatic Generation of Grammar-Agnostic Visualizations and Infographics using Large Language Models01,"Benchmark, Sora, Text-to-Video",,,,,
,,EgoCOT: Embodied Chain-of-Thought Dataset for Vision Language Pre-training,"Chain-of-Thought, Embodied, Robot",,,,,
,,Language Segment-Anything,"Perception, Robot",,,,,
,,Large World Model (LWM)01,"VLM, World-model",,,,,
,,Learning and Leveraging World Models in Visual Representation Learning,World-model,,,,,
,,Resonance RoPE: Improving Context Length Generalization of Large Language Models,"Context-Window, Reasoning, RoPE, Scaling",,,,,
,,RoboCat: A Self-Improving Generalist Agent for Robotic Manipulation,Robot,,,,,
,,RoFormer: Enhanced Transformer with Rotary Position Embedding,RoPE,https://arxiv.org/abs/2104.09864,,,,
,,Language Models Meet World Models: Embodied Experiences Enhance Language Models,"Embodied, World-model",,,,,
,,[Resource] Paperswithcode,Resource,https://paperswithcode.com/,,,,
,,[Resource] huggingface,Resource,https://huggingface.co/papers,,,,
,,Gorilla: Large Language Model Connected with Massive APIs,"Agent, Tool",,,,,
,,AlphaBlock: Embodied Finetuning for Vision-Language Reasoning in Robot Manipulation,"Reasoning, Robot",,,,,
,,Introspective Tips: Large Language Model for In-Context Decision Making,Robot,https://www.semanticscholar.org/paper/Introspective-Tips%3A-Large-Language-Model-for-Making-Chen-Wang/047e3812854a86b2a2e113219fa956eda860ce24,,,,
90,,Multimodal & Large Language Models,"Awesome Repo, LLM, VLM",,https://github.com/Yangyi-Chen/Multimodal-AND-Large-Language-Models,,,
,,A Survey of Reinforcement Learning from Human Feedback,"RLHF, Reinforcement-Learning, Survey",,,,,
,,Instruction Tuning for Large Language Models: A Survey,"Instruction-Turning, LLM, Survey",,,,,
,,Agent AI: Surveying the Horizons of Multimodal Interaction,"Agent, Survey",,,,,
,,Large Multimodal Agents: A Survey,"Agent, Survey",,,,,
,,Symbol-LLM: Leverage Language Models for Symbolic System in Visual Human Activity Reasoning,"Reasoning, Symbolic",,,,,
,,[Resource] dailyarxiv,Resource,https://dailyarxiv.com/,,,,
,,You Only Look at Screens: Multimodal Chain-of-Action Agents,"Agent, MobileApp",,https://github.com/cooelf/Auto-UI,,,
,,Pangu-Agent: A Fine-Tunable Generalist Agent with Structured Reasoning,"Agent, Reasoning",,,,,
,,Large Language Models for Robotics: A Survey,"LLM, Robot, Survey",,,,,
,,RoboCodeX:Multi-modal Code Generation forRobotic Behavior Synthesis,"Code-as-Policies, PersonalCitation, Robot",https://arxiv.org/abs/2402.16117,,,,
,,Embodied Multi-Modal Agent trained by an LLM from a Parallel TextWorld,"Agent, Embodied",https://arxiv.org/abs/2311.16714,,,,
,,Octopus: Embodied Vision-Language Programmer from Environmental Feedback,"Agent, Embodied",,,,,
,,Chain of Code: Reasoning with a Language Model-Augmented Code Emulator,"Code-as-Policies, Reasoning",,,,,
,,Executable Code Actions Elicit Better LLM Agents,"Agent, Code-as-Policies",https://arxiv.org/abs/2402.01030,,,2024/01/24,
,,Is Prompt All You Need? No. A Comprehensive and Broader View of Instruction Learning,"Instruction-Turning, Survey",,,,,
,,Vision-Language Instruction Tuning: A Review and Analysis,"Instruction-Turning, Survey",,,,,
,,A Closer Look at the Limitations of Instruction Tuning,Instruction-Turning,,,,,
,,REVO-LION: EVALUATING AND REFINING VISION LANGUAGE INSTRUCTION TUNING DATASETS,"Datatset, Instruction-Turning",,,,,
,,INSTRUCTION TUNING WITH GPT-4,"GPT4, Instruction-Turning",https://arxiv.org/abs/2304.03277,,,,
,,Exploring Format Consistency for Instruction Tuning,Instruction-Turning,,,,,
,,Synthetic Data (Almost) from Scratch: Generalized Instruction Tuning for Language Models,"Datatset, Instruction-Turning",,,,,
,,[Resource] Connectedpapers,Resource,https://www.connectedpapers.com/,,,,
,,RAP: Retrieval-Augmented Planning with Contextual Memory for Multimodal LLM Agents,"Agent, Memory, RAG",https://arxiv.org/abs/2402.03610,,,2024/02/06,
,,Training Language Models with Memory Augmentation,RAG,,,,,
,,Language Models Meet World Models,World-model,,,,,
,,Learning to Model the World with Language,World-model,,,,,
,,Diffusion World Model,World-model,,,,,
,,PIVOT: Iterative Visual Prompting Elicits Actionable Knowledge for VLMs,Robot,https://arxiv.org/abs/2402.07872,,,,
,,Demo2Code: From Summarizing Demonstrations to Synthesizing Code via Extended Chain-of-Thought,"Chain-of-Thought, Code-as-Policies, PersonalCitation, Robot",https://arxiv.org/abs/2305.16744,,,,
,,RT-H: Action Hierarchies Using Language,"Natural-Language-as-Polices, Robot",https://arxiv.org/abs/2403.01823,,,,
,,Application of Pretrained Large Language Models in Embodied Artificial Intelligence,"Agent, Embodied, Survey",https://www.semanticscholar.org/paper/Application-of-Pretrained-Large-Language-Models-in-Kovalev-Panov/04f87baf7d1b3eb303a52a8a66c8189f396dd114,,,,
,,Simple Open-Vocabulary Object Detection with Vision Transformers,Perception,https://arxiv.org/abs/2205.06230,,,,
,,ScreenAgent: A Vision Language Model-driven Computer Control Agent,Agent,,,,,
70,,XLang Paper Reading,"Agent, Awesome Repo, Embodied, Grounding",,https://github.com/xlang-ai/xlang-paper-reading,,,
,,Executable Code Actions Elicit Better LLM Agents,"Code-as-Policies, Robot",,,,,
,,Learning to Model the World with Language,World-model,,,,,
,,Secrets of RLHF in Large Language Models Part I: PPO,"PPO, RLHF, Reinforcement-Learning",https://arxiv.org/abs/2402.01030,,,2024/02/01,
,,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,"Context-Window, Foundation, Gemini, LLM, Scaling",,,,,
,,"LONGNET: Scaling Transformers to 1,000,000,000 Tokens",Scaling,https://arxiv.org/abs/2307.02486,,,2023/07/01,
,,STaR: Bootstrapping Reasoning With Reasoning,Reasoning,https://arxiv.org/abs/2203.14465,,,2022/05/28,
,,The Impact of Reasoning Step Length on Large Language Models,Reasoning,,,,,
,,A Closer Look at the Limitations of Instruction Tuning,"Instruction-Turning, Survey",https://arxiv.org/abs/2402.05119,,,,
,,OpenAGI: When LLM Meets Domain Experts,"AGI, Agent",,,54,,
,,"AssistGPT: A General Multi-modal Assistant that can Plan, Execute, Inspect, and Learn",Agent,,,,,
,,Exploring the Benefits of Training Expert Language Models over Instruction Tuning,Instruction-Turning,https://arxiv.org/abs/2302.03202,,27,2023/02/06,
,,In-Context Instruction Learning,"In-Context-Learning, Instruction-Turning",,,,,
,,Tuna: Instruction Tuning using Feedback from Large Language Models,Instruction-Turning,https://arxiv.org/abs/2310.13385,,,2023/03/06,
,,"Structured Prompting: Scaling In-Context Learning to 1,000 Examples","In-Context-Learning, Scaling",,,20,2020/03/06,
,,Rethinking the Role of Scale for In-Context Learning: An Interpretability-based Case Study at 66 Billion Scale,"In-Context-Learning, Scaling",,,18,2022/03/06,
,,Secrets of RLHF in Large Language Models Part II: Reward Modeling,RLHF,,,,,
,,CLIP4Clip: An Empirical Study of CLIP for End to End Video Clip Retrieval,"Perception, Video, Vision",https://arxiv.org/abs/2104.08860,,,,
,,LLaMA-VID: An Image is Worth 2 Tokens in Large Language Models,"Image, LLaMA, Perception",,,,,
,,SAM-CLIP: Merging Vision Foundation Models towards Semantic and Spatial Understanding,Perception,,,,,
,,Visual In-Context Prompting,"In-Context-Learning, Perception, Vision",,,,,
,,What does CLIP know about a red circle? Visual prompt engineering for VLMs,In-Context-Learning,,,,,
,,What Makes Good Examples for Visual In-Context Learning?,"In-Context-Learning, Vision",,,,,
,,Visual Prompting via Image Inpainting,"In-Context-Learning, Vision",,,,,
,,Prompting Visual-Language Models for Efficient Video Understanding,"In-Context-Learning, Video",,,,,
,,Visual Prompt Tuning,"In-Context-Learning, Prompt-Tuning",,,,,
,,Visually Grounded Reasoning across Languages and Cultures,"Grounding, Reasoning",,,,,
,,V-IRL: Grounding Virtual Intelligence in Real Life,Grounding,,,,,
,,GLaMM: Pixel Grounding Large Multimodal Model,Grounding,,,,,
,,Awesome Embodied Vision,"Awesome Repo, Embodied",,https://github.com/ChanganVR/awesome-embodied-vision,,,
,,PromptAgent: Strategic Planning with Language Models Enables Expert-level Prompt Optimization,Agent,,,,,
,,Autonomous Agents,"Agent, Awesome Repo",,https://github.com/tmgthb/Autonomous-Agents,,,
,,3D Diffusion Policy,"Diffusion, Robot",https://arxiv.org/abs/2403.03954,,,,
,,Real-World Robot Applications of Foundation Models: A Review,"Robot, Survey",,,,,
,,RoboScript: Code Generation for Free-Form Manipulation Tasks across Real and Simulation,"Code-as-Policies, Robot",,,,,
,,Creative Robot Tool Use with Large Language Models,"Code-as-Policies, Robot",,,,,
,,RoboGPT: an intelligent agent of making embodied long-term decisions for daily instruction tasks,"Code-as-Policies, PersonalCitation, Robot",,,,,
,,ChatGPT for Robotics: Design Principles and Model Abilities,"Code-as-Policies, PersonalCitation, Robot",,,,,
,,DeepWisdom - MetaGPT,Lab,,,,,
,,Reworkd AI - AgentGPT,Lab,,,,,
,,"OpenBMB - ChatDev, XAgent, AgentVerse",Lab,,,,,
,,XLANG NLP Lab - OpenAgents,Lab,,,,,
,,Skeleton-of-Thought: Prompting LLMs for Efficient Parallel Generation,"Chain-of-Thought, Reasoning",,,,,
,,"Rutgers University, AGI Research - OpenAGI",Lab,,,,,
,,Knowledge Engineering Group (KEG) & Data Mining at Tsinghua University -  CogVLM,Lab,,,,,
,,Steve-Eye: Equipping LLM-based Embodied Agents with Visual Perception in Open Worlds,"Agent, Minecraft",,,,,
,,You Only Look at Screens: Multimodal Chain-of-Action Agents,"Agent, GUI, MobileApp",,,,,
,,"LEARNING EMBODIED VISION-LANGUAGE PRO- GRAMMING FROM INSTRUCTION, EXPLORATION, AND ENVIRONMENTAL FEEDBACK","Agent, Game",,,,,
,,Embodied Task Planning with Large Language Models,"Agent, Embodied",,,,,
,,Can Language Agents Approach the Performance of RL? An Empirical Study On OpenAI Gym,"Gym, PPO, Reinforcement-Learning, Survey",,,,,
,,AGENT INSTRUCTS LARGE LANGUAGE MODELS TO BE GENERAL ZERO-SHOT REASONERS,"Agent, Reasoning",,,,,
,,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,"Agent, Tool",,,,,
,,LLM Powered Autonomous Agents,"Agent, Blog",https://lilianweng.github.io/posts/2023-06-23-agent/,,,,
,,ScreenAgent: A Computer Control Agent Driven by Visual Language Large Model,"Agent, GUI",,https://github.com/niuzaisheng/ScreenAgent,,,
,,SeeClick: Harnessing GUI Grounding for Advanced Visual GUI Agents,"Agent, GUI",,,,,
,,"""What’s important here?"": Opportunities and Challenges of Using LLMs in Retrieving Informatio from Web Interfaces","Agent, GUI, Web",,,,,
,,Self-Instruct: Aligning Language Models with Self-Generated Instructions,"Instruction-Turning, Self",,,817,,
,,[Resource] Semanticscholar,Resource,https://www.semanticscholar.org,,,,
,,A Survey on In-context Learning,"In-Context-Learning, Survey",https://arxiv.org/abs/2301.00234,,,,
,,Combating Misinformation in the Age of LLMs: Opportunities and Challenges,"Hallucination, Survey",https://arxiv.org/abs/2311.05656,,,,
,,Awesome-Papers-Autonomous-Agent,"Agent, Awesome Repo",,https://gh.mlsub.net/lafmdp/Awesome-Papers-Autonomous-Agent,,,
,,Understanding LLMs: A Comprehensive Overview from Training to Inference,"Survey, Training",,,3,,
,,A Survey on Data Selection for LLM Instruction Tuning,"Instruction-Turning, Survey",,,,,
,,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents","Agent, Code-LLM, Code-as-Policies, Survey",https://arxiv.org/abs/2401.00812,,5,,
,,A Survey on Knowledge Distillation of Large Language Models,"Distilling, Survey",,,,,
,,A Survey on Data Selection for Language Models,"Datatset, LLM, Survey",,,,,
100,,Awesome-LLM-Survey,"Awesome Repo, LLM, Survey",,https://github.com/HqWu-HITCS/Awesome-LLM-Survey,,,
70,,Awesome Large Multimodal Agents,"Agent, Awesome Repo",,https://github.com/jun0wanan/awesome-large-multimodal-agents,,,
,,Awesome Vision-Language Navigation,"Awesome Repo, Perception, VLM",,https://github.com/daqingliu/awesome-vln,,,
,,Large Models for Time Series and Spatio-Temporal Data: A Survey and Outlook,"Survey, TimeSeries",,,,,
,,OpenGVLab,Lab,,https://github.com/OpenGVLab,,,
,,Imperial College London - Zeroshot trajectory,Lab,,,,,
,,[Resource] AlphaSignal,Resource,https://alphasignal.ai/,,,,
,,[Resource] arxiv-sanity,Resource,https://arxiv-sanity-lite.com/,,,,
,,InCoRo: In-Context Learning for Robotics Control with Feedback Loops,"Feedback, In-Context-Learning, Robot",,,,,
,,S-Agents: Self-organizing Agents in Open-ended Environment,"Agent, Minecraft",,,,,
,,OCI-Robotics: Object-Centric Instruction Augmentation for Robotic Manipulation,Robot,https://arxiv.org/abs/2401.02814,,,,
,,Lenna: Language Enhanced Reasoning Detection Assistant,"Perception, Reasoning",https://arxiv.org/abs/2312.02433,,,,
,,Could a Large Language Model be Conscious?,"Brain, Conscious",,,,,
,,Could a Large Language Model be Conscious?,"Brain, Conscious",,,,,
,,A Neuro-Mimetic Realization of the Common Model of Cognition via Hebbian Learning and Free Energy Minimization,Brain,,,,,
,,(Long)LLMLingua: Enhancing Large Language Model Inference via Prompt Compression,"Compress, Scaling",https://arxiv.org/abs/2310.05736,,,,
,,LlamaIndex,Package,,https://github.com/run-llama/llama_index,,,
,,LangChain,Package,,https://github.com/langchain-ai/langchain,,,
,,h2oGPT,Package,,https://github.com/h2oai/h2ogpt,,,
60,,Awesome LLMOps,"Awesome Repo, Package",,https://github.com/tensorchord/Awesome-LLMOps,,,
,,Dify,Package,,https://github.com/langgenius/dify,,,
,,Alpaca-LoRA,Package,,https://github.com/tloen/alpaca-lora,,,
,,Efficient Large Language Models: A Survey,Survey,https://arxiv.org/abs/2312.03863,https://github.com/AIoT-MLSys-Lab/Efficient-LLMs-Survey,,,
,,Robust Speech Recognition via Large-Scale Weak Supervision,Audio,,,,,
,,A latent text-to-image diffusion model,Diffusion,,,,,
,,A Survey on Model Compression for Large Language Models,"Compress, Quantization, Survey",https://arxiv.org/abs/2308.07633,,,,
30,,Awesome LLM Compression,"Awesome Repo, Compress",,https://github.com/HuangOwen/Awesome-LLM-Compression,,,Awesome LLM Compression
,40,Cognitive Architectures for Language Agents,Agent,https://arxiv.org/abs/2309.02427,,,,
,,LLM Agents Papers,"Agent, Awesome Repo",,https://github.com/zjunlp/LLMAgentPapers,,,
,,Awesome LLM-Powered Agent,"Agent, Awesome Repo",,https://github.com/hyp1231/awesome-llm-powered-agent,,,
,,Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements,"LoRA, Scaling",https://arxiv.org/abs/2305.03695,,,,
,,Video Understanding with Large Language Models: A Survey,"Survey, Video",,,,,
,,A Survey on Multimodal Large Language Models for Autonomous Driving,"Drive, Survey",https://arxiv.org/abs/2311.12320,,,,
,,Retrieval-Augmented Generation for Large Language Models: A Survey,"RAG, Survey",,,,,
,,On the Design Fundamentals of Diffusion Models: A Survey,"Diffusion, Survey",https://arxiv.org/abs/2306.04542,,,,
,,Chain-of-table: Evolving tables in the reasoning chain for table understanding,"Chain-of-Thought, Reasoning, Table",,,,,
,,DeepSeek-VL: Towards Real-World Vision-Language Understanding01,"VLM, VQA",,,,,
,,Tree-Planner: Efficient Close-loop Task Planning with Large Language Models01,"LLM, PersonalCitation, Robot",,,,,
,,GPT-4V(ision) for Robotics: Multimodal Task Planning from Human Demonstration,"Demonstration, GPT4, PersonalCitation, Robot",,,,,
,,IROS2023PaperList,"Awesome Repo, IROS, Robot",,https://github.com/gonultasbu/IROS2023PaperList,,,
,,Paper List for In-context Learning,"Awesome Repo, In-Context-Learning",,https://github.com/dqxiu/ICL_PaperList,,,
,,OPEx: A Component-Wise Analysis of LLM-Centric Agents in Embodied Instruction Following,"Agent, Embodied, Robot",,,,,
,,Chain of Code: Reasoning with a Language Model-Augmented Code Emulator,"Chain-of-Thought, Code-as-Policies",https://arxiv.org/abs/2312.04474,,,,
,,AgentTuning: Enabling Generalized Agent Abilities For LLMs,"Agent, Instruction-Turning",https://arxiv.org/abs/2310.12823,,,,Comprehensive Collection of LLM-Related Papers
,,Ghost in the Minecraft: Generally Capable Agents for Open-World Environments via Large Language Models with Text-based Knowledge and Memory01,"Agent, Minecraft",,,,,
,,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,VLM,,,,,
,,Prompt a Robot to Walk with Large Language Models,"Action-Generation, Generation, Prompting",,,,,
,,Can large language models explore in-context?,In-Context-Learning,,,,,
,,RoFormer: Enhanced Transformer with Rotary Position Embedding,Context-Window,,,,,
,,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,"Context-Window, Foundation",,,,,
,,Corrective Retrieval Augmented Generation,"CRAG, RAG",https://arxiv.org/abs/2401.15884,,,,
,,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",RAG,,,,,
,,RAG-Fusion: a New Take on Retrieval-Augmented Generation,RAG,https://arxiv.org/abs/2402.03367,,,,
,,Gorilla: Large Language Model Connected with Massive APIs,"APIs, Agent, Tool",https://arxiv.org/abs/2305.15334,,,,
,,RAFT: Adapting Language Model to Domain Specific RAG,RAG,https://arxiv.org/abs/2403.10131,,,,
,,AIOS: LLM Agent Operating System,Agent,https://arxiv.org/abs/2403.16971,,,,
,,"LLM as OS, Agents as Apps: Envisioning AIOS, Agents and the AIOS-Agent Ecosystem",Agent,https://arxiv.org/abs/2312.03815,,,,
,,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,RAG,https://arxiv.org/abs/2403.14403,,,,
,,"DeliGrasp: Inferring Object Mass, Friction, and Compliance with LLMs for Adaptive and Minimally Deforming Grasp Policies",Robot,https://arxiv.org/abs/2403.07832,,,,
,,LaVague,"Action-Model, Agent, LAM",,https://github.com/lavague-ai/LaVague,,,
,,Be Yourself: Bounded Attention for Multi-Subject Text-to-Image Generation,Tex2Img,https://arxiv.org/abs/2403.16990,,,,
,,Awesome-Chinese-LLM,"Awesome Repo, Chinese",,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM,,,
,,awesome-korean-llm,"Awesome Repo, Korean",,https://github.com/NomaDamas/awesome-korean-llm,,,
,,InternVideo2: Scaling Video Foundation Models for Multimodal Video Understanding,"ViFM, Video",https://arxiv.org/abs/2403.15377,https://github.com/OpenGVLab/InternVideo2/,,,
,,Mora: Enabling Generalist Video Generation via A Multi-Agent Framework,"Sora, Text-to-Video",https://arxiv.org/abs/2403.13248,,,,
